gid,favela,2017,2020,2024,osm,temporal,completed
493,SANTO ESTEVAN,False,False,False,False,False,0
494,SÃO JOSÉ II,False,False,False,False,False,0
495,DANIEL GRAN,False,False,False,False,False,0
496,SÃO PAULO ANTIGO,False,False,False,False,False,0
497,RENE FERNANDES,False,False,False,False,False,0
498,PASSAGEM II,False,False,False,False,False,0
499,CHÁCARA BELA VISTA,False,False,False,False,False,0
500,TOMÉ DE ALMEIDA OLIVEIRA,False,False,False,False,False,0
501,JARDIM EUCALIPTOS,False,False,False,False,False,0
503,OCUPAÇÃO PROMORAR - SÃO FRANCISCO GLOBAL,False,False,False,False,False,0
504,ESTRELA,False,False,False,False,False,0
